iter	Logloss
144	0.662020034
145	0.6617513827
146	0.6616145862
147	0.6614379708
148	0.6613668771
149	0.6612554403
150	0.6611314242
151	0.6609701925
152	0.6608322042
153	0.6607306171
154	0.6606432432
155	0.6604577115
156	0.6602209094
157	0.6600543982
158	0.6599848639
159	0.6598961734
160	0.6598227699
161	0.6596974142
162	0.6596622378
163	0.6595657916
164	0.6594317781
165	0.6592234546
166	0.6591512113
167	0.6590746583
168	0.6590083685
169	0.6589396171
170	0.6587832223
171	0.6586961842
172	0.6586332504
173	0.6585254427
174	0.6584067109
175	0.6582461611
176	0.6582061332
177	0.6581827814
178	0.6580104383
179	0.6579254952
180	0.6577281166
181	0.6576250719
182	0.6573964721
183	0.6572456516
184	0.6571002342
185	0.6568279838
186	0.6567779272
187	0.6566103082
188	0.6565627772
189	0.6565193472
190	0.6564349904
191	0.6562334075
192	0.6561457193
193	0.6561111495
194	0.655963722
195	0.6559238585
196	0.6558914035
197	0.6556482591
198	0.6555412822
199	0.6554551905
200	0.6553937771
201	0.655260994
202	0.6552196915
203	0.6551868688
204	0.6551638014
205	0.6551370525
206	0.6550810635
207	0.6549858076
208	0.6548491666
209	0.6547458137
210	0.654729092
211	0.6546915274
212	0.6546342418
213	0.6545519185
214	0.6544777536
215	0.6544144967
216	0.6543453073
217	0.6543222799
218	0.6542246308
219	0.654132423
220	0.6541070425
221	0.6540653825
222	0.6539987003
223	0.653809653
224	0.6536627297
225	0.6536261879
226	0.6535974581
227	0.6534808845
228	0.6534155123
229	0.6533176666
230	0.6532216722
231	0.6530958673
232	0.6529291657
233	0.6528023068
234	0.6527676722
235	0.6526715476
236	0.6525345301
237	0.6524058337
238	0.6523052403
239	0.652272965
240	0.6522523423
241	0.6521843315
242	0.6521351043
243	0.6521120399
244	0.6521086806
245	0.6520622405
246	0.6519996998
247	0.6519374344
248	0.6518906154
249	0.6518368965
250	0.651758619
251	0.6516603235
252	0.6515960488
253	0.6515369553
254	0.6514772288
255	0.6514451345
256	0.6513556016
257	0.6511658371
258	0.6511294723
259	0.6510490067
260	0.6509950742
261	0.6508510784
262	0.6507579068
263	0.6506135914
264	0.6505465782
265	0.650459219
266	0.650266852
267	0.6501826809
268	0.650097206
269	0.6500436334
270	0.6499646565
271	0.649904622
272	0.649834532
273	0.6497862274
274	0.6497472666
275	0.6497030726
276	0.6496414757
277	0.6495930743
278	0.6495602156
279	0.6495197532
280	0.6494725073
281	0.6494207154
282	0.6493625709
283	0.6492988825
284	0.6492720634
285	0.6491933778
286	0.6491395833
287	0.6489211342
288	0.6488814946
289	0.6487952764
290	0.6487406333
291	0.6486850494
292	0.6485693809
293	0.648443234
294	0.6483882455
295	0.6483176566
296	0.648172594
297	0.648140142
298	0.6480766643
299	0.6479821819
300	0.6479223431
301	0.6478084951
302	0.647770885
303	0.6476139754
304	0.6475639907
305	0.6475003026
306	0.6474397631
307	0.6473874425
308	0.6473553649
309	0.6472854296
310	0.6472194579
311	0.6471679757
312	0.6471266208
313	0.6470434392
314	0.646867011
315	0.6468249566
316	0.6466618145
317	0.6465473976
318	0.64649652
319	0.6464121878
320	0.6463728669
321	0.6462128021
322	0.6461766302
323	0.6461177631
324	0.6460035174
325	0.6458607403
326	0.6457137761
327	0.6456432226
328	0.6455971933
329	0.6454767639
330	0.6454357894
331	0.6453712279
332	0.6452391621
333	0.6451181424
334	0.6450621282
335	0.6450087738
336	0.6448870069
337	0.6448051723
338	0.6447452049
339	0.6446903395
340	0.6446237977
341	0.6445761141
342	0.6445292928
343	0.6444834202
344	0.6443462543
345	0.6443057309
346	0.6441533677
347	0.6440468458
348	0.6439504141
349	0.6437668968
350	0.6437144699
351	0.6436593718
352	0.6436148001
353	0.6435788959
354	0.6435282836
355	0.6434874176
356	0.6434500253
357	0.6433557356
358	0.6433039809
359	0.6432298103
360	0.6431215865
361	0.6430736046
362	0.6429899601
363	0.6429474775
364	0.6429041852
365	0.642864839
366	0.6427639352
367	0.6426799502
368	0.6426481903
369	0.6426155832
370	0.6425833816
371	0.6425442454
372	0.6424667942
373	0.6424346453
374	0.6423416783
375	0.6422750992
376	0.642191755
377	0.6420855661
378	0.6420518049
379	0.6419730922
380	0.6419454568
381	0.6419034093
382	0.6418331893
383	0.6418097914
384	0.6416663689
385	0.6415928924
386	0.6414927781
387	0.6413725629
388	0.6413149096
389	0.6412849653
390	0.6412446705
391	0.64115315
392	0.64109067
393	0.6409371833
394	0.6408929382
395	0.6408582694
396	0.6407609214
397	0.6406771524
398	0.6406255928
399	0.6405913525
400	0.6404903237
401	0.6403734519
402	0.6402534184
403	0.6402167272
404	0.6401590013
405	0.6400717152
406	0.6399876237
407	0.6399477991
408	0.6399119592
409	0.6398820945
410	0.6397857994
411	0.6397475553
412	0.6397010815
413	0.6396779593
414	0.6395693971
415	0.639501248
416	0.6394735557
417	0.6394177022
418	0.6393627675
419	0.6392050805
420	0.6391200285
421	0.639004392
422	0.6389294196
423	0.6388448474
424	0.6387611097
425	0.6387103277
426	0.6386934678
427	0.6386272406
428	0.6385614166
429	0.6385032453
430	0.6384726899
431	0.6384269359
432	0.6383592417
433	0.6382753283
434	0.638176415
435	0.6381196164
436	0.6380647457
437	0.6380093417
438	0.6379502292
439	0.63788509
440	0.6378320914
441	0.6377866515
442	0.637653923
443	0.6375603594
444	0.6374808563
445	0.6374216514
446	0.637329779
447	0.6372721651
448	0.637217192
449	0.6371768915
450	0.637135198
451	0.6370354643
452	0.6369645034
453	0.6369187209
454	0.6368584774
455	0.6368068631
456	0.63675803
457	0.6367163625
458	0.6366196635
459	0.636540156
460	0.6364870304
461	0.6364296022
462	0.636340121
463	0.6362855526
464	0.6362225384
465	0.6361430337
466	0.6360729163
467	0.6359859864
468	0.6359504535
469	0.6358815371
470	0.6357702
471	0.6357089788
472	0.6356777254
473	0.6355656471
474	0.6355394191
475	0.635465036
476	0.6354255408
477	0.6353722144
478	0.6352843152
479	0.6352221834
480	0.6350958267
481	0.6350448936
482	0.6350088309
483	0.6349514031
484	0.6348392191
485	0.634808549
486	0.6347604953
487	0.6347209889
488	0.634668439
489	0.634606331
490	0.6345706218
491	0.6345393454
492	0.6344583622
493	0.6344179072
494	0.634389287
495	0.6343701243
496	0.6343069007
497	0.6342263704
498	0.6341440614
499	0.6340649347
